SCAN	FA	MD	L1	RD	DIAM	DENS
t1	5.62E-01	6.62E-01	1.14E+00	4.24E-01	1.29E+01	2.88E-02
t1	4.39E-01	8.04E-01	1.22E+00	5.96E-01	1.22E+01	3.02E-02
t1	5.44E-01	7.63E-01	1.29E+00	4.98E-01	1.19E+01	3.31E-02
t1	6.16E-01	7.73E-01	1.41E+00	4.55E-01	1.19E+01	3.25E-02
t1	6.57E-01	7.98E-01	1.52E+00	4.39E-01	1.19E+01	3.28E-02
t1	6.62E-01	8.24E-01	1.57E+00	4.50E-01	1.18E+01	3.43E-02
t1	6.80E-01	7.78E-01	1.51E+00	4.12E-01	1.15E+01	3.30E-02
t1	6.61E-01	7.71E-01	1.47E+00	4.23E-01	1.18E+01	3.10E-02
t1	6.16E-01	7.96E-01	1.45E+00	4.70E-01	1.22E+01	2.79E-02
t1	5.89E-01	7.80E-01	1.38E+00	4.79E-01	1.32E+01	2.38E-02
t1	4.94E-01	8.77E-01	1.42E+00	6.08E-01	1.42E+01	1.79E-02
t1	6.59E-01	8.13E-01	1.53E+00	4.53E-01	1.11E+01	3.37E-02
t1	7.19E-01	7.46E-01	1.50E+00	3.69E-01	1.12E+01	3.47E-02
t1	7.17E-01	7.60E-01	1.53E+00	3.76E-01	1.18E+01	3.29E-02
t1	6.99E-01	7.86E-01	1.55E+00	4.03E-01	1.17E+01	3.50E-02
t1	7.45E-01	7.11E-01	1.47E+00	3.29E-01	1.09E+01	3.90E-02
t1	7.77E-01	6.59E-01	1.42E+00	2.78E-01	1.12E+01	3.70E-02
t1	7.20E-01	7.32E-01	1.48E+00	3.58E-01	1.07E+01	3.79E-02
t1	6.77E-01	7.77E-01	1.50E+00	4.14E-01	1.21E+01	3.13E-02
t1	6.69E-01	7.51E-01	1.44E+00	4.06E-01	1.18E+01	3.25E-02
t1	6.43E-01	7.25E-01	1.35E+00	4.11E-01	1.24E+01	3.15E-02
t1	5.95E-01	6.83E-01	1.21E+00	4.18E-01	1.26E+01	3.10E-02
t1	4.66E-01	7.14E-01	1.12E+00	5.11E-01	1.33E+01	2.74E-02
t1	3.88E-01	8.87E-01	1.29E+00	6.85E-01	1.24E+01	2.89E-02
t1	4.87E-01	8.67E-01	1.40E+00	6.03E-01	1.20E+01	3.26E-02
t1	5.82E-01	8.42E-01	1.49E+00	5.20E-01	1.19E+01	3.32E-02
t1	6.44E-01	8.15E-01	1.53E+00	4.59E-01	1.17E+01	3.36E-02
t1	6.98E-01	7.50E-01	1.48E+00	3.84E-01	1.18E+01	3.23E-02
t1	6.83E-01	7.63E-01	1.48E+00	4.02E-01	1.19E+01	3.23E-02
t1	6.36E-01	8.20E-01	1.52E+00	4.69E-01	1.24E+01	3.00E-02
t1	6.33E-01	7.90E-01	1.46E+00	4.54E-01	1.28E+01	2.91E-02
t1	6.18E-01	7.59E-01	1.38E+00	4.47E-01	1.33E+01	2.47E-02
t1	6.53E-01	7.89E-01	1.48E+00	4.45E-01	1.13E+01	3.29E-02
t1	6.84E-01	7.85E-01	1.52E+00	4.17E-01	1.07E+01	3.69E-02
t1	7.00E-01	7.80E-01	1.54E+00	4.00E-01	1.13E+01	3.38E-02
t1	7.00E-01	7.87E-01	1.55E+00	4.04E-01	1.09E+01	3.63E-02
t1	6.72E-01	8.26E-01	1.59E+00	4.46E-01	1.08E+01	3.69E-02
t1	7.05E-01	7.63E-01	1.52E+00	3.86E-01	1.08E+01	3.89E-02
t1	7.58E-01	6.74E-01	1.42E+00	3.00E-01	1.13E+01	3.59E-02
t1	7.27E-01	7.01E-01	1.43E+00	3.37E-01	1.18E+01	3.36E-02
t1	6.88E-01	7.29E-01	1.42E+00	3.81E-01	1.18E+01	3.39E-02
t1	6.94E-01	6.68E-01	1.31E+00	3.46E-01	1.20E+01	3.36E-02
t1	6.29E-01	6.68E-01	1.23E+00	3.88E-01	1.28E+01	3.01E-02
t1	4.84E-01	7.46E-01	1.19E+00	5.23E-01	1.35E+01	2.71E-02
t1	3.52E-01	9.95E-01	1.41E+00	7.88E-01	1.24E+01	2.93E-02
t1	5.28E-01	8.18E-01	1.37E+00	5.42E-01	1.15E+01	3.68E-02
t1	6.52E-01	7.41E-01	1.40E+00	4.11E-01	1.17E+01	3.41E-02
t1	7.00E-01	7.31E-01	1.45E+00	3.72E-01	1.22E+01	3.07E-02
t1	6.98E-01	7.50E-01	1.48E+00	3.83E-01	1.19E+01	3.41E-02
t1	6.76E-01	7.87E-01	1.52E+00	4.20E-01	1.19E+01	3.33E-02
t1	6.76E-01	7.72E-01	1.49E+00	4.11E-01	1.20E+01	3.20E-02
t1	6.68E-01	7.45E-01	1.43E+00	4.03E-01	1.17E+01	3.11E-02
t1	6.08E-01	8.30E-01	1.49E+00	5.01E-01	1.26E+01	2.56E-02
t1	6.55E-01	8.10E-01	1.52E+00	4.54E-01	1.09E+01	3.53E-02
t1	6.81E-01	7.99E-01	1.54E+00	4.26E-01	1.11E+01	3.42E-02
t1	7.07E-01	7.69E-01	1.53E+00	3.89E-01	1.08E+01	3.77E-02
t1	7.21E-01	7.45E-01	1.51E+00	3.65E-01	1.07E+01	3.88E-02
t1	7.21E-01	7.30E-01	1.48E+00	3.58E-01	1.10E+01	3.71E-02
t1	6.90E-01	7.65E-01	1.50E+00	3.99E-01	1.08E+01	3.72E-02
t1	6.68E-01	7.85E-01	1.50E+00	4.26E-01	1.14E+01	3.58E-02
t1	6.77E-01	7.43E-01	1.43E+00	3.97E-01	1.14E+01	3.73E-02
t1	6.88E-01	6.79E-01	1.33E+00	3.55E-01	1.17E+01	3.52E-02
t1	6.80E-01	6.16E-01	1.19E+00	3.28E-01	1.18E+01	3.49E-02
t1	5.62E-01	6.55E-01	1.13E+00	4.18E-01	1.29E+01	2.98E-02
t1	3.65E-01	8.20E-01	1.17E+00	6.42E-01	1.38E+01	2.45E-02
t1	5.69E-01	7.61E-01	1.32E+00	4.79E-01	1.17E+01	3.59E-02
t1	6.57E-01	7.25E-01	1.38E+00	4.00E-01	1.20E+01	3.34E-02
t1	7.24E-01	6.69E-01	1.36E+00	3.23E-01	1.21E+01	3.25E-02
t1	7.44E-01	6.56E-01	1.36E+00	3.03E-01	1.24E+01	3.16E-02
t1	7.13E-01	7.04E-01	1.41E+00	3.48E-01	1.24E+01	3.05E-02
